iter	Passed	Remaining
876	1776	249
877	1777	246
878	1779	244
879	1781	242
880	1782	240
881	1784	238
882	1786	236
883	1788	234
884	1790	232
885	1793	230
886	1795	228
887	1797	226
888	1799	224
889	1801	222
890	1803	220
891	1806	218
892	1807	216
893	1809	214
894	1811	212
895	1812	210
896	1814	208
897	1817	206
898	1818	204
899	1820	202
900	1822	200
901	1825	198
902	1827	196
903	1829	194
904	1831	192
905	1834	190
906	1834	188
907	1837	186
908	1839	184
909	1841	182
910	1843	180
911	1844	177
912	1846	175
913	1847	173
914	1849	171
915	1852	169
916	1854	167
917	1855	165
918	1857	163
919	1860	161
920	1862	159
921	1863	157
922	1865	155
923	1868	153
924	1869	151
925	1871	149
926	1873	147
927	1876	145
928	1878	143
929	1879	141
930	1882	139
931	1884	137
932	1886	135
933	1889	133
934	1891	131
935	1892	129
936	1894	127
937	1895	125
938	1897	123
939	1899	121
940	1902	119
941	1904	117
942	1906	115
943	1908	113
944	1911	111
945	1912	109
946	1914	107
947	1916	105
948	1917	103
949	1920	101
950	1922	99
951	1923	96
952	1925	94
953	1927	92
954	1930	90
955	1932	88
956	1934	86
957	1936	84
958	1938	82
959	1939	80
960	1940	78
961	1942	76
962	1944	74
963	1946	72
964	1949	70
965	1950	68
966	1952	66
967	1954	64
968	1956	62
969	1957	60
970	1960	58
971	1962	56
972	1963	54
973	1965	52
974	1968	50
975	1970	48
976	1972	46
977	1974	44
978	1976	42
979	1979	40
980	1980	38
981	1982	36
982	1984	34
983	1987	32
984	1989	30
985	1991	28
986	1993	26
987	1995	24
988	1997	22
989	1999	20
990	2001	18
991	2003	16
992	2006	14
993	2007	12
994	2009	10
995	2011	8
996	2013	6
997	2016	4
998	2017	2
999	2019	0
